account,owner,outcome,durationMinutes,tags,transcript
Atlas Works,Priya,unknown,35,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,36,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,37,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,38,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,39,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,40,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,41,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,42,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,43,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,44,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,45,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,46,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,47,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,48,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,49,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,50,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,51,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,52,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,53,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,54,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,55,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,56,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,57,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,58,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,59,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,60,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,61,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,62,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,63,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,64,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,24,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,25,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,26,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,27,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,28,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,29,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,30,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,31,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,32,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,33,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,34,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,35,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,36,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,37,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,38,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,39,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,40,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,41,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,42,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,43,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,44,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,45,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,46,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,47,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,48,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,49,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,50,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,51,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,52,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,53,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,54,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,55,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,56,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,57,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,58,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,59,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,60,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,61,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,62,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,63,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,64,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,24,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,25,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,26,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,27,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,28,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,29,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,30,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,31,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,32,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,33,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,34,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,35,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,36,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,37,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,38,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,39,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,40,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,41,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,42,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,43,expansion,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,44,security,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,45,pilot,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,46,budget,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,47,procurement,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,48,expansion,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,49,security,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,50,pilot,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,51,budget,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,52,procurement,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,53,expansion,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,54,security,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,55,pilot,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,56,budget,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,57,procurement,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,58,expansion,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,59,security,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,60,pilot,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,61,budget,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Maya,won,62,procurement,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Jon,lost,63,expansion,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Sam,follow-up,64,security,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Priya,unknown,24,pilot,"Rep asked about business impact and buyer named the next owner."
BrightCart,Maya,won,25,budget,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Jon,lost,26,procurement,"Rep asked about business impact and buyer named the next owner."
Cedar Support,Sam,follow-up,27,expansion,"Rep asked about business impact and buyer named the next owner."
MetroGrid,Priya,unknown,28,security,"Rep asked about business impact and buyer named the next owner."
Northstar Health,Maya,won,29,pilot,"Rep asked about business impact and buyer named the next owner."
Harbor Ledger,Jon,lost,30,budget,"Rep asked about business impact and buyer named the next owner."
BrightCart,Sam,follow-up,31,procurement,"Rep asked about business impact and buyer named the next owner."
Atlas Works,Priya,unknown,32,expansion,"Rep asked about business impact and buyer named the next owner."
